Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
G-1 KM;1;db;965512;521376;965512;521376;1486888
S106;3;db;46320;25013;138960;75038;213998
162-0007-00;6;db;7881;4256;47286;25534;72820
00958010;1;db;86073;46479;86073;46479;132552
IPA65;2;db;109463;59110;218927;118220;337147
S107;2;db;57895;31263;115790;62527;178317
BRE18_094;2;db;110748;59804;221495;119607;341102
BREGSA16;8;db;113410;61241;907280;489931;1397211
BREARA;12;db;1294;699;15524;8383;23907
BRE126;9;db;28877;15593;259890;140341;400231
BRE18_106;9;db;137981;74510;1241830;670588;1912418
Egyedi;1;db;4502973;2431605;4502973;2431605;6934578
