Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
71-00-00 ÉPÜLETVILLAMOSSÁG;;;;;2 586 804 892;996 575 817;3 583 380 709
"Érintésvédelmi hálózat tartozékainak szerelése, épületgépészeti csőhálózat földelő kötése Földelő szerelvény 1/2""-1""";0;0;0;0;-;-;-
71-60-22;1,0;klt;2 296;1 675;2 296;1 675;3 971
Érintésvédelembe bekötött fogyasztók és fém szerkezetek érintésvédelmi mérése, jegyzőkönyv (Érintésvédelmi Minősítő irat) készítésével;0;0;0;0;-;-;-
71-60-23;1,0;klt;-;1 472 379;-;1 472 379;1 472 379
A berendezés szakértő által történő átvétele, az alapföldelő kialakításának ellenőrzésével, fényképes dokumentálásával, első felülvizsgálatnak megfelelő dokumentáció készítésével;0;0;0;0;-;-;-
71-60-24;1,0;klt;-;1 212 167;-;1 212 167;1 212 167
Villámvédelmi rendszer első felülvizsgálata és jegyzőkönyvezése (Villámvédelmi Minősítő Irat elkészítése);0;0;0;0;-;-;-
71-60-25;1,0;klt;-;578 607;-;578 607;578 607
Zuhanytálcák, lefolyók, összefolyók, nagy kiterjedésű fémszerkezetek EPH bekötése;0;0;0;0;-;-;-
71-60-26;1,0;klt;688 642;2 177 493;688 642;2 177 493;2 866 134
71-70-00 EGYÉB TÉTELEK (SZÜNETMENTES, UPS, DÍZEL, RWA, EGYÉB);;;0;0;-;-;-
SZÜNETMENTES, UPS;;;0;0;-;-;-
71-70-01;;;-;-;-;-;-
71-70-02;;;-;-;-;-;-
71-70-03;;;-;-;-;-;-
71-70-04;;;-;-;-;-;-
71-70-05;;;-;-;-;-;-
71-70-06;;;-;-;-;-;-
71-70-07;;;-;-;-;-;-
71-70-08;;;-;-;-;-;-
71-70-09;;;-;-;-;-;-
71-70-10;;;-;-;-;-;-
71-70-11;;;-;-;-;-;-
71-70-12;;;-;-;-;-;-
71-70-13;;;-;-;-;-;-
71-70-14;;;-;-;-;-;-
71-70-15;;;-;-;-;-;-
71-70-16;;;-;-;-;-;-
71-70-17;;;-;-;-;-;-
