Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
F64 EVO Professzionális kávédaráló, automatikus indítású;1;;314 849;170 018;314 849;170 018;484 867
FKUv 1663 Pult alá helyezhető professzionális hűtőszekrény, üvegajtós;5;;372 253;201 017;1 861 265;1 005 083;2 866 348
ARC400RC Hajlított üvegű bemutató hűtővitrin;1;;941 560;508 443;941 560;508 443;1 450 003
Egyedi Kézmosó medence behegesztése munkalapba;1;;27 564;14 885;27 564;14 885;42 449
S309 Asztali keverő csaptelep orvosi karral;1;;18 433;9 954;18 433;9 954;28 386
IME404025 Mélyhúzott, négyszögletes, rozsdamentes mosogatómedence;2;;23 787;12 845;47 574;25 690;73 264
S310 Asztali keverő csaptelep orvosi karral;1;;18 433;9 954;18 433;9 954;28 386
Upster NEW Professzionális, PRÉMIUM kategóriás pohármosogató gép ActivePlus szűrőrendszerrel;1;;1 547 550;835 677;1 547 550;835 677;2 383 227
