Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
S-8-11.1 Ruhaakasztó arany;72;db;11 642;4 366;838 253;314 345;1 152 598
S-8-11.2 Ruhaakasztó akadálymentes;30;db;5 891;2 209;176 715;66 263;242 983
S-8-12 Intim hulladékgyűjtő arany;45;db;37 283;13 981;1 677 753;629 157;2 306 910
S-8-13 Higiéniai zacskótartó arany;5;db;29 106;10 915;145 530;54 574;200 104
Higiéniai zacskótartó króm;45;db;21 414;8 030;963 617;361 356;1 324 973
S-8-14 Wc kefe arany;5;db;18 780;7 043;93 902;35 213;129 115
Wc kefe króm;71;db;38 115;14 293;2 706 165;1 014 812;3 720 977
S-8-16 Szenzoros Szappanadagoló;8;db;29 522;11 071;236 174;88 565;324 740
S-8-17.1 Felhajtható Kapaszkodó;15;db;49 550;18 581;743 243;278 716;1 021 958
S-8-17.2 Felhajtható Kapaszkodó;8;db;242 940;91 102;1 943 520;728 820;2 672 340
S-8-18 Felhajtható Pelenkázó;15;db;242 940;91 103;3 644 100;1 366 538;5 010 638
S-8-19.1 Fix kapaszkodó;6;db;173 131;64 924;1 038 785;389 544;1 428 329
S-8-19.2 Fix kapaszkodó;2;db;43 301;16 238;86 603;32 476;119 079
DOLGOZÓI MOSDÓK, ÖLTÖZŐK;16;db;57 473;21 552;919 572;344 840;1 264 412
S-8-26 Csaptelep króm (bicikli+gym);8;db;45 197;16 949;361 580;135 592;497 172
S-8-30 Zuhanyrendszer dolgozói;13;db;48 284;18 107;627 693;235 385;863 078
Esőztető;13;db;13 688;5 133;177 946;66 730;244 675
Cosetta E szappantartó;13;db;28 782;10 793;374 162;140 311;514 472
S-8-32 Hajszárító;13;db;6 115;2 293;79 495;29 811;109 306
S-8-33 Ruhaakasztó króm;8;db;65 584;24 603;524 670;196 826;721 496
Ruhaakasztó;23;db;6 426;2 410;147 802;55 426;203 227
SZEMÉLYZETI MOSDÓK;;;;;13 566 695;5 687 597;19 254 192
S-8-35 WC;9;db;30 699;11 512;276 287;103 607;379 894
Nyomógomb;13;db;16 876;6 328;219 387;82 270;301 657
Wc ülőke;9;db;12 924;4 847;116 320;43 620;159 940
S-8-36.1 Személyzeti mosdó;17;db;56 470;21 176;959 987;359 995;1 319 982
