Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
88-30-15;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-16;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-17;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-18;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-19;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-20;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-21;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-22;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-23;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-24;1;klt;663 917;211 919;663 917;211 919;875 836
