Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-40-688 LEPR-300-200-100-RAK;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-689 LEPR-400-200-100-RAK;3,0;db;16 725;16 332;50 175;48 997;99 172
61-40-690 LEPR-400-300-100-RAK;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-691 LEPR-400-400-100-RAK;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-692 LEPR-500-200-100-RAK;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-693 LEPR-500-300-100-RAK;2,0;db;16 725;16 332;33 450;32 665;66 114
61-40-694 LEPR-600-200-100-RAK;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-695 LEPR-600-300-100-RAK;2,0;db;16 725;16 332;33 450;32 665;66 114
61-40-696 LEPR-600-400-100-RAK;4,0;db;16 725;16 332;66 900;65 329;132 229
61-40-697 LEPR-600-2400-100-RAK;1,0;db;42 107;27 928;42 107;27 928;70 035
61-40-698 LEPR-700-300-100-RAK;2,0;db;16 725;16 332;33 450;32 665;66 114
61-40-699 LEPR-700-1100-100-RAK;2,0;db;19 530;17 354;39 060;34 707;73 768
61-40-700 LEPR-700-1600-100-RAK;1,0;db;32 750;21 723;32 750;21 723;54 472
61-40-701 LEPR-800-400-100-RAK;2,0;db;19 530;17 354;39 060;34 707;73 768
61-40-702 LEPR-800-500-100-RAK;1,0;db;19 530;17 354;19 530;17 354;36 884
61-40-703 LEPR-800-1300-100-RAK;1,0;db;23 902;20 170;23 902;20 170;44 073
61-40-704 LEPR-900-1100-100-RAK;2,0;db;19 530;17 354;39 060;34 707;73 768
61-40-705 LEPR-930-445-100-RAK;4,0;db;19 530;17 354;78 120;69 415;147 535
61-40-706 LEPR-1000-200-100-RAK;2,0;db;19 530;17 354;39 060;34 707;73 768
61-40-707 LEPR-1000-600-100-RAK;1,0;db;19 530;17 354;19 530;17 354;36 884
61-40-708 LEPR-1200-500-100-RAK;1,0;db;19 530;17 354;19 530;17 354;36 884
61-40-709 LEPR-1300-400-100-RAK;1,0;db;22 982;19 395;22 982;19 395;42 378
61-40-710 LEPR-1300-550-100-RAK;1,0;db;22 982;19 395;22 982;19 395;42 378
61-40-711 LEPR-1300-1200-100-RAK;2,0;db;35 853;30 256;71 706;60 511;132 217
61-40-712 LEPR-1400-1900-100-RAK;2,0;db;77 781;51 590;155 561;103 180;258 742
61-40-713 LEPR-1500-400-100-RAK;2,0;db;22 982;19 395;45 965;38 791;84 756
61-40-714 LEPR-1500-1000-100-RAK;1,0;db;34 474;29 092;34 474;29 092;63 566
61-40-715 LEPR-1500-1100-100-RAK;1,0;db;37 922;32 001;37 922;32 001;69 924
61-40-716 LEPR-1900-1800-100-RAK;1,0;db;100 004;66 331;100 004;66 331;166 335
61-40-717 LEPR-2000-800-100-RAK;2,0;db;46 786;31 032;93 572;62 063;155 635
61-40-718 LEPR-2000-1000-100-RAK;2,0;db;58 482;38 790;116 964;77 579;194 543
61-40-719 LEPR-2200-900-100-RAK;1,0;db;57 897;38 402;57 897;38 402;96 299
61-40-720 LEPR-2200-1500-100-RAK;1,0;db;96 496;64 003;96 496;64 003;160 498
61-40-721 LEPR-2500-1200-100-RAK;4,0;db;87 723;58 185;350 892;232 740;583 632
"Négyszögkeresztmetszetű idomok horganyzott acéllemezből idomacél kerettel, tömítéssel, anyáscsavarokkal, felfüggesztő és tartószerkezetekkel; felfüggesztés, falátvezetés lágy gumibetét közbeiktatásával. A légcsatornák falvastagsága feleljen meg a DIN 24191 és ÖNORM H 6015 előírásainak. Nyomásállóság +1000 és -630 Pa között. Légtömörségi osztály (EN 12237): B 0-699 mm";0;0;0;0;-;-;-
61-40-722 LDR-200x300-200x200-200;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-723 LDR-250x500-250x400-200;3,0;db;16 725;16 332;50 175;48 997;99 172
61-40-724 LDR-250x550-250x550-200;1,0;db;16 725;16 332;16 725;16 332;33 057
61-40-725 LDR-300x200-200x200-200;2,0;db;16 725;16 332;33 450;32 665;66 114
61-40-726 LDR-300x200-300x200-200;2,0;db;16 725;16 332;33 450;32 665;66 114
