Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
92-10-01;1.0;klt;42500000;850000;42500000;850000;43350000
92-20-01;1.0;klt;15500000;8500000;15500000;8500000;24000000
92-20-02;1.0;klt;150000;450000;150000;450000;600000
92-30-01;32.0;db;85000;0;2720000;0;2720000
92-30-02;1.0;klt;0;150000;0;150000;150000
92-30-03;1.0;klt;150000;0;150000;0;150000
92-30-04;1.0;klt;250000;0;250000;0;250000
92-30-05;1.0;klt;0;250000;0;250000;250000
92-30-06;1.0;klt;250000;0;250000;0;250000
92-30-07;1.0;klt;150000;0;150000;0;150000
92-30-08;1.0;klt;150000;0;150000;0;150000
92-30-09;1.0;klt;150000;50000;150000;50000;200000
92-40-01;32.0;db;0;15000;0;480000;480000
92-40-02;12.0;db;450000;25000;5400000;300000;5700000
92-40-03;16.0;db;320000;25000;5120000;400000;5520000
92-40-04;16.0;db;280000;25000;4480000;400000;4880000
92-40-05;1.0;klt;3500000;4500000;3500000;4500000;8000000
92-40-06;1.0;klt;2500000;3500000;2500000;3500000;6000000
92-40-07;1.0;klt;1500000;2500000;1500000;2500000;4000000
92-40-08;1.0;klt;450000;850000;450000;850000;1300000
92-40-09;1.0;klt;450000;850000;450000;850000;1300000
92-40-10;32.0;db;45000;15000;1440000;480000;1920000
92-40-11;64.0;db;12500;8500;800000;544000;1344000
92-40-12;64.0;db;22500;8500;1440000;544000;1984000
92-40-13;32.0;db;18500;5500;592000;176000;768000
92-40-14;32.0;db;18500;5500;592000;176000;768000
92-40-15;1.0;klt;0;250000;0;250000;250000
92-40-16;1.0;klt;0;650000;0;650000;650000
92-40-17;1.0;klt;350000;0;350000;0;350000
92-40-18;1.0;klt;0;450000;0;450000;450000
