Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
"61-20-35 Vbe=3600 m3/h; Vel=4000 m3/h; Típus: Halton KVF-M 2600x2000x555";1,0;db;6 318 158;1 185 688;6 318 158;1 185 688;7 503 846
61-20-36 Típus: Lindab HN 200;1,0;db;45 345;12 658;45 345;12 658;58 004
61-20-37 Típus: Lindab HN 250;2,0;db;58 871;13 474;117 742;26 948;144 690
61-20-38 Típus: Lindab HN 315;2,0;db;87 431;17 149;174 863;34 298;209 161
61-20-39 Típus: Lindab LHR 300x300 - 5;1,0;db;451 728;31 109;451 728;31 109;482 837
61-20-40 Típus: Lindab LHR 400x400 - 5;1,0;db;519 013;34 026;519 013;34 026;553 039
"61-20-41 Trox HFR 140-17D DS1 GR090 - Elszívó axiálventilátor... Vel=2340 m3/h; dp=400 Pa; Típus: Trox HFR 140-17D DS1 GR090";1,0;db;2 356 361;429 884;2 356 361;429 884;2 786 245
61-20-42 Típus: TROX EL 315 E2 03;1,0;db;990 902;195 210;990 902;195 210;1 186 112
61-30-00 LÉGCSATORNÁK ÖSSZESEN;;;;;272 562 650;271 284 213;543 846 863
61-30-001 SR-100;59,0;m;3 947;4 604;232 901;271 627;504 528
61-30-002 SR-125;2 619,0;m;4 687;5 246;12 274 636;13 740 355;26 014 991
61-30-003 SR-160;1 400,0;m;6 062;6 390;8 486 383;8 945 847;17 432 231
61-30-004 SR-200;921,0;m;7 333;6 390;6 753 694;5 885 090;12 638 784
61-30-005 SR-250;476,0;m;9 903;7 544;4 713 941;3 590 817;8 304 758
61-30-006 SR-280;1,0;m;13 043;8 329;13 043;8 329;21 373
61-30-007 SR-300;7,0;m;13 043;8 329;91 304;58 304;149 608
61-30-008 SR-315;140,0;m;13 043;8 329;1 826 088;1 166 072;2 992 159
61-30-009 SR-350;11,0;m;14 450;8 901;158 945;97 915;256 860
61-30-010 SR-355;4,0;m;14 450;8 901;57 798;35 606;93 404
61-30-011 SR-450;4,0;m;19 461;9 983;77 844;39 931;117 775
