Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
62-40-11 EWYT630B-SLA2+OP204;2,0;db;119 637 419;2 756 116;239 274 839;5 512 232;244 787 071
Mágneses iszapleválasztó karimás kivitelben.;0;0;0;0;-;-;-
62-40-12 Clean Smart F DN150;1,0;db;2 249 948;44 098;2 249 948;44 098;2 294 046
62-40-13 Clean Smart F DN300;1,0;db;11 631 612;109 326;11 631 612;109 326;11 740 938
Nordart norvég elektromos fűtőpanel elektronikus termosztáttal, programozási lehetőséggel.;0;0;0;0;-;-;-
62-40-14 ECO 6 Qf=600W;11,0;db;156 019;31 925;1 716 205;351 178;2 067 383
Puffer tartály a fűtési-hűtési rendszer részére, bekötve, min. 50mm vastag párazáró szigeteléssel ellátva V = 2000 liter;0;0;0;0;-;-;-
62-40-15 V = 2000 liter;2,0;db;2 797 553;195 225;5 595 106;390 450;5 985 556
Puffer tartály a fűtési-hűtési rendszer részére, bekötve, min. 50mm vastag párazáró szigeteléssel ellátva V = 3000 liter;0;0;0;0;-;-;-
62-40-16 V = 3000 liter;2,0;db;4 070 773;287 095;8 141 546;574 190;8 715 735
Rehau padló fűtés osztó-gyűjtő átfolyásmérővel, körönként termoelektromos szeleppel és beszabályzási lehetőséggel, szekrénnyel.;0;0;0;0;-;-;-
62-40-17 HKV-D-3;9,0;db;220 425;44 098;1 983 828;396 884;2 380 712
62-40-18 HKV-D-4;2,0;db;261 198;50 069;522 396;100 138;622 534
62-40-19 HKV-D-5;1,0;db;321 856;60 634;321 856;60 634;382 491
62-40-20 HKV-D-6;7,0;db;341 731;66 606;2 392 115;466 243;2 858 359
62-40-21 HKV-D-7;2,0;db;379 487;72 578;758 975;145 156;904 131
62-40-22 HKV-D-8;6,0;db;417 229;78 549;2 503 375;471 293;2 974 668
62-40-23 HKV-D-9;1,0;db;466 225;89 114;466 225;89 114;555 339
62-40-24 HKV-D-10;6,0;db;496 165;95 086;2 976 989;570 516;3 547 505
62-40-25 HKV-D-11;2,0;db;530 936;101 058;1 061 871;202 116;1 263 987
62-40-26 HKV-D-12;1,0;db;568 065;107 029;568 065;107 029;675 093
Sky Air kültéri egység;0;0;0;0;-;-;-
62-40-27 RZAG35A;1,0;db;707 665;157 124;707 665;157 124;864 789
62-40-28 RZAG100NY1;1,0;db;1 897 620;183 312;1 897 620;183 312;2 080 933
