Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
88-10-85;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-86;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-87;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-88;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-89;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-90;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-91;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-92;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-93;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-94;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-95;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-96;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-97;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-98;1;klt;455 101;129 951;455 101;129 951;585 052
88-10-99;1;klt;455 101;129 951;455 101;129 951;585 052
88-11-00;1;klt;455 101;129 951;455 101;129 951;585 052
88-11-01;1;klt;455 101;129 951;455 101;129 951;585 052
88-11-02;1;klt;455 101;129 951;455 101;129 951;585 052
88-11-03;1;klt;455 101;129 951;455 101;129 951;585 052
