Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-30-944 LKR-1600-800-800;2,0;db;109 385;72 517;218 769;145 034;363 803
61-30-945 LKR-1600-800-1400;1,0;db;191 423;126 904;191 423;126 904;318 327
61-30-946 LKR-1600-1000-600;1,0;db;88 875;58 920;88 875;58 920;147 794
61-30-947 LKR-1700-900-300;1,0;db;44 438;29 460;44 438;29 460;73 898
61-30-948 LKR-1700-900-400;2,0;db;59 250;39 280;118 500;78 560;197 061
61-30-949 LKR-1700-900-900;1,0;db;133 313;88 379;133 313;88 379;221 692
61-30-950 LKR-1700-900-1400;1,0;db;207 375;137 479;207 375;137 479;344 854
61-30-951 LKR-1700-900-1700;1,0;db;207 375;137 479;207 375;137 479;344 854
61-30-952 LKR-1700-1500-600;2,0;db;109 385;72 517;218 769;145 034;363 803
61-30-953 LKR-1730-700-200;1,0;db;55 262;36 636;55 262;36 636;91 899
61-30-954 LKR-1800-400-100;1,0;db;28 486;18 884;28 486;18 884;47 370
61-30-955 LKR-1800-500-100;2,0;db;28 486;18 884;56 971;37 768;94 739
61-30-956 LKR-1800-500-200;6,0;db;28 486;18 884;170 914;113 305;284 218
61-30-957 LKR-1800-500-300;2,0;db;39 310;26 060;78 620;52 121;130 741
61-30-958 LKR-1800-500-500;4,0;db;65 517;43 435;262 067;173 740;435 807
61-30-959 LKR-1800-500-700;1,0;db;91 724;60 808;91 724;60 808;152 532
61-30-960 LKR-1800-500-1100;2,0;db;144 137;95 556;288 274;191 112;479 386
61-30-961 LKR-1800-500-1300;2,0;db;196 550;130 304;393 101;260 607;653 708
61-30-962 LKR-1800-500-1500;8,0;db;196 550;130 304;1 572 404;1 042 429;2 614 832
61-30-963 LKR-1800-500-2100;1,0;db;275 171;182 425;275 171;182 425;457 595
61-30-964 LKR-1800-500-5900;1,0;db;773 100;512 525;773 100;512 525;1 285 624
61-30-965 LKR-1800-500-9600;1,0;db;1 257 924;833 939;1 257 924;833 939;2 091 863
61-30-966 LKR-1800-600-500;1,0;db;54 692;36 259;54 692;36 259;90 951
61-30-967 LKR-1800-700-300;1,0;db;42 728;28 327;42 728;28 327;71 055
61-30-968 LKR-1800-700-500;1,0;db;71 213;47 211;71 213;47 211;118 424
61-30-969 LKR-1800-800-100;3,0;db;28 486;18 884;85 457;56 652;142 109
61-30-970 LKR-1800-800-500;1,0;db;74 062;49 099;74 062;49 099;123 162
61-30-971 LKR-1800-1000-100;1,0;db;28 486;18 884;28 486;18 884;47 370
61-30-972 LKR-1800-1000-200;1,0;db;31 903;21 150;31 903;21 150;53 054
61-30-973 LKR-1800-1000-400;1,0;db;47 856;31 726;47 856;31 726;79 582
61-30-974 LKR-1800-1000-700;1,0;db;191 423;126 904;191 423;126 904;318 327
61-30-975 LKR-1800-1000-2200;1,0;db;191 423;126 904;191 423;126 904;318 327
61-30-976 LKR-1800-2400-500;1,0;db;119 639;79 315;119 639;79 315;198 954
61-30-977 LKR-1840-810-100;1,0;db;60 389;40 036;60 389;40 036;100 425
61-30-978 LKR-1900-500-100;2,0;db;28 486;18 884;56 971;37 768;94 739
61-30-979 LKR-1900-500-700;2,0;db;95 711;63 452;191 423;126 904;318 327
61-30-980 LKR-1900-500-800;1,0;db;109 385;72 517;109 385;72 517;181 902
61-30-981 LKR-1900-700-800;1,0;db;118 500;78 559;118 500;78 559;197 059
61-30-982 LKR-1900-700-1100;1,0;db;162 938;108 019;162 938;108 019;270 957
61-30-983 LKR-1900-800-200;1,0;db;30 765;20 395;30 765;20 395;51 159
61-30-984 LKR-1900-800-700;2,0;db;107 676;71 384;215 352;142 768;358 119
61-30-985 LKR-1900-900-100;1,0;db;31 903;21 150;31 903;21 150;53 054
61-30-986 LKR-1900-900-200;1,0;db;31 903;21 150;31 903;21 150;53 054
61-30-987 LKR-1900-900-1500;1,0;db;118 500;78 559;118 500;78 559;197 059
61-30-988 LKR-1900-1100-700;1,0;db;119 639;79 315;119 639;79 315;198 954
61-30-989 LKR-1900-1800-900;1,0;db;189 714;125 771;189 714;125 771;315 485
61-30-990 LKR-1950-705-500;1,0;db;75 771;50 232;75 771;50 232;126 004
