Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
88-30-25;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-26;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-27;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-28;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-29;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-30;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-31;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-32;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-33;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-34;1;klt;663 917;211 919;663 917;211 919;875 836
88-30-35;1;klt;663 917;211 919;663 917;211 919;875 836
