Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-40-914 LDR-900x800-800x800-200;1,0;db;26 560;23 601;26 560;23 601;50 161
61-40-915 LDR-900x800-930x760-200;2,0;db;24 607;21 865;49 214;43 731;92 945
61-40-916 LDR-900x800-980x700-200;1,0;db;31 834;28 286;31 834;28 286;60 121
61-40-917 LDR-900x1000-900x500-533;1,0;db;156 630;139 174;156 630;139 174;295 804
61-40-918 LDR-900x1100-500x1100-446;1,0;db;66 011;58 654;66 011;58 654;124 664
61-40-919 LDR-900x1100-700x1200-273;1,0;db;46 872;41 648;46 872;41 648;88 520
61-40-920 LDR-900x1100-2000x400-1053;1,0;db;400 310;265 516;400 310;265 516;665 826
61-40-921 LDR-950x780-700x400-429;1,0;db;81 440;72 364;81 440;72 364;153 804
61-40-922 LDR-980x760-900x800-200;1,0;db;71 479;63 513;71 479;63 513;134 993
61-40-923 LDR-1000x200-500x200-533;1,0;db;28 513;25 336;28 513;25 336;53 849
61-40-924 LDR-1000x250-800x250-273;1,0;db;48 434;43 036;48 434;43 036;91 470
61-40-925 LDR-1000x300-500x200-533;1,0;db;80 660;71 669;80 660;71 669;152 329
61-40-926 LDR-1000x300-700x300-360;1,0;db;24 414;21 692;24 414;21 692;46 105
61-40-927 LDR-1000x300-800x300-273;2,0;db;57 614;51 193;115 229;102 387;217 616
61-40-928 LDR-1000x300-900x300-200;1,0;db;33 592;29 848;33 592;29 848;63 439
61-40-929 LDR-1000x400-500x300-533;2,0;db;25 389;22 560;50 778;45 120;95 898
61-40-930 LDR-1000x400-800x400-273;1,0;db;20 311;18 047;20 311;18 047;38 358
61-40-931 LDR-1000x400-900x400-200;1,0;db;61 911;55 010;61 911;55 010;116 922
61-40-932 LDR-1000x400-1000x400-200;1,0;db;36 132;32 104;36 132;32 104;68 236
61-40-933 LDR-1000x500-900x300-273;1,0;db;27 342;24 295;27 342;24 295;51 637
61-40-934 LDR-1000x600-700x600-360;3,0;db;19 530;17 354;58 590;52 061;110 651
61-40-935 LDR-1000x600-1000x300-360;1,0;db;35 154;31 236;35 154;31 236;66 390
61-40-936 LDR-1000x690-980x690-200;2,0;db;35 154;31 236;70 308;62 471;132 779
61-40-937 LDR-1000x700-900x500-273;1,0;db;41 209;36 615;41 209;36 615;77 824
61-40-938 LDR-1000x700-1000x500-273;1,0;db;41 209;36 615;41 209;36 615;77 824
61-40-939 LDR-1000x720-1000x600-204;2,0;db;21 093;18 741;42 185;37 483;79 668
61-40-940 LDR-1000x720-1000x700-200;1,0;db;28 123;24 988;28 123;24 988;53 111
61-40-941 LDR-1000x770-1000x600-247;1,0;db;28 123;24 988;28 123;24 988;53 111
61-40-942 LDR-1000x780-1000x700-200;1,0;db;21 483;19 089;21 483;19 089;40 572
61-40-943 LDR-1000x800-700x800-360;1,0;db;32 419;28 807;32 419;28 807;61 226
61-40-944 LDR-1000x800-980x700-200;1,0;db;26 367;23 427;26 367;23 427;49 794
61-40-945 LDR-1000x1000-500x1000-533;1,0;db;46 481;41 301;46 481;41 301;87 782
61-40-946 LDR-1000x1000-1000x700-360;1,0;db;29 491;26 203;29 491;26 203;55 694
61-40-947 LDR-1050x650-300x400-750;1,0;db;80 660;71 669;80 660;71 669;152 329
61-40-948 LDR-1080x800-980x760-200;1,0;db;80 660;71 669;80 660;71 669;152 329
61-40-949 LDR-1100x300-300x300-533;1,0;db;56 443;50 151;56 443;50 151;106 593
61-40-950 LDR-1100x300-900x300-273;1,0;db;27 342;24 295;27 342;24 295;51 637
61-40-951 LDR-1100x400-500x300-620;2,0;db;77 339;68 719;154 677;137 439;292 116
61-40-952 LDR-1100x400-900x300-273;1,0;db;35 154;31 236;35 154;31 236;66 390
61-40-953 LDR-1100x700-600x700-533;1,0;db;77 339;68 719;77 339;68 719;146 058
61-40-954 LDR-1100x700-700x700-446;1,0;db;35 154;31 236;35 154;31 236;66 390
61-40-955 LDR-1100x700-1100x700-200;2,0;db;72 652;64 554;145 304;129 108;274 412
61-40-956 LDR-1100x770-1000x770-200;2,0;db;59 567;52 928;119 134;105 856;224 990
61-40-957 LDR-1100x800-1140x770-200;2,0;db;21 093;18 741;42 185;37 483;79 668
61-40-958 LDR-1100x800-1140x770-200;1,0;db;27 538;24 468;27 538;24 468;52 006
61-40-959 LDR-1100x800-1140x770-200;1,0;db;27 538;24 468;27 538;24 468;52 006
