Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
71-00-00 ÉPÜLETVILLAMOSSÁG;;;;;2 586 804 892;996 575 817;3 583 380 709
Halogénmentes erőátviteli kábel N2XH-J 7x2,5 mm2;0;0;0;0;-;-;-
71-20-97;50,0;m;2 578;1 137;128 890;56 846;185 737
Fűtőkábel DEVI DTC20;0;0;0;0;-;-;-
71-20-98;1 050,0;m;3 923;1 842;4 119 321;1 934 150;6 053 471
71-30-00 SZERELVÉNYEK;;;0;0;70 520 659;31 708 919;102 229 579
1P kapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-01;134,0;db;4 013;4 404;537 734;590 162;1 127 896
2P kapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-02;12,0;db;6 717;4 404;80 607;52 850;133 457
1P csillárkapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-03;22,0;db;5 566;4 404;122 461;96 892;219 354
1P váltókapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-04;48,0;db;4 927;4 404;236 500;211 401;447 901
2P váltókapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-05;4,0;db;6 504;4 404;26 015;17 617;43 632
1P kettős váltókapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-06;26,0;db;6 504;4 404;169 096;114 509;283 605
1P keresztváltó kapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-07;2,0;db;7 116;4 404;14 232;8 808;23 040
1P nyomógomb szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP20 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-08;6,0;db;5 799;4 404;34 794;26 425;61 219
1P kapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-09;38,0;db;6 504;4 404;247 140;167 359;414 500
2P kapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-10;24,0;db;7 212;4 404;173 098;105 701;278 799
1P váltókapcsoló szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider Sedna vagy e.é.;0;0;0;0;-;-;-
71-30-11;12,0;db;6 504;4 404;78 044;52 850;130 895
1P nyomógomb szerelése süllyesztetten, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider vagy e.é.;0;0;0;0;-;-;-
71-30-12;7,0;db;6 504;4 404;45 526;30 829;76 355
1P kapcsoló szerelése falon kívül, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider vagy e.é.;0;0;0;0;-;-;-
71-30-13;10,0;db;2 609;4 404;26 091;44 042;70 133
2P kapcsoló szerelése falon kívül, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider vagy e.é.;0;0;0;0;-;-;-
71-30-14;9,0;db;2 902;4 404;26 114;39 638;65 752
1P váltókapcsoló szerelése falon kívül, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider vagy e.é.;0;0;0;0;-;-;-
71-30-15;4,0;db;2 805;4 404;11 220;17 617;28 837
1P csillár szerelése falon kívül, doboz elhelyezéssel, bekötéssel kompletten, 16A, 250V, IP44 védettséggel Schneider vagy e.é.;0;0;0;0;-;-;-
71-30-16;1,0;db;3 172;4 404;3 172;4 404;7 576
