Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
"BAR 3GR Professzionális ""Artisan"" eszpresszó kávégép, háromcsapos";1;;1 428 933;771 624;1 428 933;771 624;2 200 557
besthead Univerzális szűrőfej különböző típusú szűrőpatronokhoz;1;;27 598;14 903;27 598;14 903;42 500
Aquameter Vízátfolyás mérő LCD kijelzővel;1;;35 259;19 040;35 259;19 040;54 298
"Protector mini 810524 C/R 3/4"" vízszűrő (lemosható) a vízlágyító elé";1;;34 059;18 392;34 059;18 392;52 450
bestprotect V Szűrőpatron (szűrőfej nélkül);1;;28 752;15 526;28 752;15 526;44 278
IM-21 Jégkocka gyártó gép (étjég-gép) - léghűtéses kivitel;1;;686 911;370 932;686 911;370 932;1 057 843
besthead Univerzális szűrőfej különböző típusú szűrőpatronokhoz;1;;27 598;14 903;27 598;14 903;42 500
Aquameter Vízátfolyás mérő LCD kijelzővel;1;;35 259;19 040;35 259;19 040;54 298
"Protector mini 810524 C/R 3/4"" vízszűrő (lemosható) a vízlágyító elé";1;;34 059;18 392;34 059;18 392;52 450
besttaste 20 Szűrőpatron (szűrőfej nélkül);1;;28 336;15 301;28 336;15 301;43 638
