Tétel;Megjegyzés;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
11-01-61 HEB300 (2x1), S235JR;Földszint;5 560,8;kg;3 122;4 015;17 360 818;22 326 612;39 687 430
11-01-62 HEB320 (2x1), S235JR;Földszint;2 462,8;kg;3 122;4 015;7 688 861;9 888 142;17 577 003
11-01-63 HEM160 (2x1), S235JR;Földszint;294,0;kg;3 122;4 015;917 868;1 180 410;2 098 278
11-01-64 HEM180 (2x1), S235JR;Földszint;467,8;kg;3 122;4 015;1 460 472;1 878 217;3 338 689
11-01-65 HEM200 (2x1), S235JR;Földszint;462,8;kg;3 122;4 015;1 444 862;1 858 142;3 303 004
11-01-66 HEM220 (2x1), S235JR;Földszint;2 825,0;kg;3 122;4 015;8 819 650;11 342 375;20 162 025
11-01-67 HEM240 (2x1), S235JR;Földszint;5 837,7;kg;3 122;4 015;18 225 300;23 438 366;41 663 666
11-01-68 HEM260 (2x1), S235JR;Földszint;3 669,8;kg;3 122;4 015;11 457 116;14 734 247;26 191 363
11-01-69 HEM300 (2x1), S235JR;Földszint;2 504,9;kg;3 122;4 015;7 820 298;10 057 174;17 877 472
11-01-70 IPE200 (2x1), S235JR;Földszint;91,7;kg;3 122;4 015;286 287;368 176;654 463
11-01-71 IPE240 (2x1), S235JR;Földszint;122,4;kg;3 122;4 015;382 133;491 436;873 569
11-01-72 IPE330 (2x1), S235JR;Földszint;739,0;kg;3 122;4 015;2 307 158;2 967 085;5 274 243
11-01-73 HEA160 (2x1), S235JR;1. emelet;106,78;kg;3 122;4 015;333 367;428 722;762 089
11-01-74 HEA180 (2x1), S235JR;1. emelet;296,55;kg;3 122;4 015;925 829;1 190 648;2 116 477
11-01-75 HEA200 (2x1), S235JR;1. emelet;336,55;kg;3 122;4 015;1 050 709;1 351 248;2 401 957
11-01-76 HEA220 (2x1), S235JR;1. emelet;1 128,85;kg;3 122;4 015;3 524 270;4 532 333;8 056 603
11-01-77 HEA240 (2x1), S235JR;1. emelet;510,86;kg;3 122;4 015;1 594 905;2 051 103;3 646 008
11-01-78 HEA260 (2x1), S235JR;1. emelet;274,38;kg;3 122;4 015;856 614;1 101 636;1 958 250
11-01-79 HEA280 (2x1), S235JR;1. emelet;762,11;kg;3 122;4 015;2 379 307;3 059 872;5 439 179
11-01-80 HEA300 (2x1), S235JR;1. emelet;8 198,34;kg;3 122;4 015;25 595 217;32 916 335;58 511 552
11-01-81 HEB160 (2x1), S235JR;1. emelet;213,01;kg;3 122;4 015;665 017;855 235;1 520 252
11-01-82 HEB180 (2x1), S235JR;1. emelet;587,14;kg;3 122;4 015;1 833 051;2 357 367;4 190 418
11-01-83 HEB220 (2x1), S235JR;1. emelet;1 549,21;kg;3 122;4 015;4 836 634;6 219 978;11 056 612
11-01-84 HEB240 (2x1), S235JR;1. emelet;398,61;kg;3 122;4 015;1 244 460;1 600 419;2 844 879
11-01-85 HEB260 (2x1), S235JR;1. emelet;835,35;kg;3 122;4 015;2 607 963;3 353 930;5 961 893
11-01-86 HEB280 (2x1), S235JR;1. emelet;990,26;kg;3 122;4 015;3 091 592;3 975 894;7 067 486
11-01-87 HEB300 (2x1), S235JR;1. emelet;3 990,65;kg;3 122;4 015;12 458 809;16 022 460;28 481 269
11-01-88 HEM140 (2x1), S235JR;1. emelet;394,8;kg;3 122;4 015;1 232 566;1 585 122;2 817 688
11-01-89 HEM200 (2x1), S235JR;1. emelet;1 181,43;kg;3 122;4 015;3 688 424;4 743 441;8 431 865
11-01-90 HEM240 (2x1), S235JR;1. emelet;1 487,03;kg;3 122;4 015;4 642 508;5 970 425;10 612 933
11-01-91 IPE240 (2x1), S235JR;1. emelet;1 019,91;kg;3 122;4 015;3 184 159;4 094 939;7 279 098
11-01-92 IPE270 (2x1), S235JR;1. emelet;424,05;kg;3 122;4 015;1 323 884;1 702 561;3 026 445
11-01-93 IPE300 (2x1), S235JR;1. emelet;296,06;kg;3 122;4 015;924 300;1 188 681;2 112 981
