Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
Egyedi;1;db;967373;522382;967373;522382;1489755
BRE18_116;4;db;144251;77896;577005;311583;888588
ChefMaster;2;db;614141;331636;1228282;663272;1891554
ChefMaster;1;db;783089;422868;783089;422868;1205957
Egyedi;1;db;4928447;2661362;4928447;2661362;7589809
Egyedi;1;db;967373;522382;967373;522382;1489755
BRE18_136;4;db;156867;84708;627468;338833;966301
HAU-P 5x6;1;db;216919;117136;216919;117136;334056
